timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
72715.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72715.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72729.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72729.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72731.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72732.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72733.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72757.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72758.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72758.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72760.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72761.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.361,31.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.448,,,,,,,,30.5,,30,0,45,,,,75.3,0.4,-100,100,100,,,,,,,,,,,,,
72762.543,32.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.634,,,,,,,,30.7,,30,0,45,,,,73.2,1.7,8.8,100,100,,,,,,,,,,,,,
72762.723,33.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.743,33.3,,,,,,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.783,33.3,,,,,,,31.6,,30,0,45,,,,61.6,2.7,13.3,100,100,,,,,,,,,,,,,
72762.884,34.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72762.996,,,,,,,,33.8,,30.1,0,45,,,,34.4,3.5,95.1,100,42.8,,,,,,,,,,,,,
72763.072,36.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.141,,,,,,,,35.4,,30.2,0,45,,,,17.9,3.8,19,100,78.6,,,,,,,,,,,,,
72763.242,37.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.308,,,,,,,,37,,30.3,0,45,,,,9.4,4,1.3,100,100,,,,,,,,,,,,,
72763.431,39.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.501,,,,,,,,38.9,,30.5,0,45,,,,13.6,4.2,-65.8,100,100,,,,,,,,,,,,,
72763.603,41.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.679,,,,,,,,40.6,,30.7,0,45,,,,11.5,4.4,24.2,100,91.7,,,,,,,,,,,,,
72763.743,,,,,,,31.86,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.818,43.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72763.9,,,,,,,,43.2,,30.9,0,45,,,,-2.3,4.4,18.6,100,81.9,,,,,,,,,,,,,
72764.01,45.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.118,,,,,,,,45.2,,31.2,0,45,,,,-4.6,4.3,42.3,100,57.4,,,,,,,,,,,,,
72764.194,46.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.267,,,,,,,,46.7,,31.5,0,45,,,,-3.3,4.3,-20.1,100,100,,,,,,,,,,,,,
72764.368,48.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.426,,,,,,,,48.3,,31.9,0,45,,,,6.7,4.4,31.2,100,79.9,,,,,,,,,,,,,
72764.517,49.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.576,,,,,,,,50,,32.2,0,45,,,,9.5,4.5,-11.1,100,100,,,,,,,,,,,,,
72764.667,51.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.725,,,,,,,31.87,51.6,,32.6,0,45,,,,6.5,4.7,32.5,100,78.7,,,,,,,,,,,,,
72764.817,52.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72764.876,,,,,,,,53.3,,33,0,45,,,,5.4,4.8,-1.3,100,100,,,,,,,,,,,,,
72764.968,54,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.025,,,,,,,,54.9,,33.5,0,45,,,,3.9,4.8,4.8,100,100,,,,,,,,,,,,,
72765.117,55.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.175,,,,,,,,56.6,,33.9,0,45,,,,2.4,4.9,10.7,100,96.6,,,,,,,,,,,,,
72765.267,56.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.325,,,,,,,,58.3,,34.4,0,45,,,,1.2,4.9,-2.4,100,100,,,,,,,,,,,,,
72765.417,58.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.479,,,,,,,,59.9,,34.9,0,45,,,,-0.3,4.9,4.1,100,100,,,,,,,,,,,,,
72765.567,59.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.625,,,,,,,,61.6,,35.4,0,45,,,,-1.1,4.9,-3.2,100,100,,,,,,,,,,,,,
72765.717,61,,90,,,,31.96,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.776,,,,,,,,63.2,,36,0,45,,,,-1.8,4.9,17.5,100,85.6,,,,,,,,,,,,,
72765.867,62.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72765.925,,,,,,,,64.7,,36.5,0,45,,,,-5.4,4.8,34.7,89.5,54.3,,,,,,,,,,,,,
72766.017,63.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.075,,,,,,,,66.3,,37.1,0,45,,,,-20.3,4.6,66.2,69.5,0,,,,,,,,,,,,,
72766.167,65.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.225,,,,,,,,67.2,,37.7,0,45,,,,-27,4.2,21.6,53.6,9.2,,,,,,,,,,,,,
72766.317,66.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.376,,,,,,,,67.6,,38.3,0,45,,,,-23.8,3.8,25.6,42.2,25.1,,,,,,,,,,,,,
72766.467,67.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.525,,,,,,,,67.8,,38.9,0,45,,,,-16.6,3.5,-1.8,29.3,25.7,,,,,,,,,,,,,
72766.617,69.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.676,,,,,,,,67.6,,39.4,0,45,,,,-11.9,3.3,-2.9,2.3,0,,,,,,,,,,,,,
72766.767,70.3,,90,,,,32.14,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.826,,,,,,,,67.6,,40,0,45,,,,-14.2,3,23.2,-19.8,-54.1,,,,,,,,,,,,,
72766.917,71.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72766.975,,,,,,,,67.2,,40.5,0,45,,,,-11.8,2.8,-11.9,-35,-32.1,,,,,,,,,,,,,
72767.067,72.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.125,,,,,,,,66.5,,41,0,45,,,,-10.2,2.7,23.4,-46.8,-68.8,,,,,,,,,,,,,
72767.217,74,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.276,,,,,,,,65.5,,41.5,0,45,,,,-0.8,2.6,-28.5,-52.8,-22.6,,,,,,,,,,,,,
72767.367,75.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.425,,,,,,,,64.5,,41.9,0,45,,,,4.9,2.7,-10.3,-58.9,-41.1,,,,,,,,,,,,,
72767.517,76.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.576,,,,,,,,63.5,,42.3,0,45,,,,6.5,2.8,-1.3,-63,-52.4,,,,,,,,,,,,,
72767.667,77.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.726,,,,,,,32.31,62.4,,42.6,0,45,,,,8.5,2.9,-16.9,-65,-36.7,,,,,,,,,,,,,
72767.817,78.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72767.875,,,,,,,,61.3,,43,0,45,,,,10.5,3,-32.9,-64.8,-18.4,,,,,,,,,,,,,
72767.967,79.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.026,,,,,,,,60.1,,43.3,0,45,,,,13.8,3.2,-24.7,-62.5,-20.7,,,,,,,,,,,,,
72768.117,80.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.176,,,,,,,,59.1,,43.5,0,45,,,,15,3.5,-8.3,-60,-33.1,,,,,,,,,,,,,
72768.267,81.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.325,,,,,,,,58,,43.8,0,45,,,,14.1,3.7,-8.4,-59.6,-33.5,,,,,,,,,,,,,
72768.417,82,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.476,,,,,,,,57.1,,44,0,45,,,,13.4,3.9,-9.5,-57,-30.2,,,,,,,,,,,,,
72768.567,82.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.626,,,,,,,,56.1,,44.2,0,45,,,,14.1,4.1,-11.7,-52,-22.1,,,,,,,,,,,,,
72768.717,83.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.775,,,,,,,32.59,55.3,,44.4,0,45,,,,14.3,4.4,-3.5,-46.9,-24.8,,,,,,,,,,,,,
72768.867,84.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72768.921,,,,,,,,54.4,,44.5,68.4,45,,,,0,0,100,30,-70,,,,,,,,,,,,,
72769.134,84.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.187,,,,,,,,53,,44.6,65.4,45,,,,73.1,1.3,38,25.9,50,,,,,,,,,,,,,
72769.283,85.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.338,,,,,,,,52.3,,44.7,63,45,,,,62.9,2.4,35.3,22.7,52.6,,,,,,,,,,,,,
72769.433,86.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.488,,,,,,,,52.1,,44.8,60.8,45,,,,52.2,3.3,41.2,19.6,33.9,,,,,,,,,,,,,
72769.583,86.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.637,,,,,,,,52.2,,44.9,58.8,45,,,,39.8,4,44,16.8,16.7,,,,,,,,,,,,,
72769.733,86.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.788,,,,,,,32.78,52.4,,44.9,56.6,45,,,,27.5,4.5,44,13.8,1.8,,,,,,,,,,,,,
72769.883,87,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72769.938,,,,,,,,52.5,,45,54.4,45,,,,14.9,4.9,44,10.7,-13.4,,,,,,,,,,,,,
72770.033,87.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.087,,,,,,,,52.5,,45.1,52.4,45,,,,3.1,5,38.3,7.9,-22.3,,,,,,,,,,,,,
72770.183,87.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.183,87.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.237,,,,,,,,52.2,,45.2,50.3,45,,,,-6.6,4.9,29.9,5,-26.6,,,,,,,,,,,,,
72770.333,87.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.387,,,,,,,,51.9,,45.3,48.5,45,,,,-15.6,4.7,27.3,2.6,-35.7,,,,,,,,,,,,,
72770.483,88.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.537,,,,,,,,51.4,,45.3,47,45,,,,-21.9,4.4,21.9,0.5,-38.9,,,,,,,,,,,,,
72770.633,88.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.687,,,,,,,,50.8,,45.4,45.8,45,,,,-25.4,4,8.3,-1.2,-30.9,,,,,,,,,,,,,
72770.783,89.2,,90,,,,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.837,,,,,,,,50.1,,45.4,45,45,,,,-26.9,3.5,5.7,-2.3,-31.5,,,,,,,,,,,,,
72770.933,89.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72770.987,,,,,,,,49.5,,45.4,44.4,45,,,,-27.3,3.1,0.3,-3.1,-27.6,,,,,,,,,,,,,
72771.083,89.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.138,,,,,,,,49,,45.4,44.3,45,,,,-25.7,2.6,3,-3.3,-29.3,,,,,,,,,,,,,
72771.233,89.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.287,,,,,,,,48.4,,45.4,44.4,45,,,,-22.6,2.2,-7.8,-3.1,-15.6,,,,,,,,,,,,,
72771.383,90,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.437,,,,,,,,48,,45.4,44.7,45,,,,-18.9,1.9,-10.8,-2.7,-8.9,,,,,,,,,,,,,
72771.534,90.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.587,,,,,,,,47.6,,45.4,45.3,45,,,,-13.6,1.6,-26.7,-2,12.8,,,,,,,,,,,,,
72771.683,90.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.737,,,,,,,33.42,47.4,,45.4,45.9,45,,,,-9.6,1.5,-10.8,-1,1.6,,,,,,,,,,,,,
72771.833,90.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72771.887,,,,,,,,47.2,,45.3,46.6,45,,,,-4.7,1.4,-21.5,-0.1,18.2,,,,,,,,,,,,,
72771.983,90.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.042,,,,,,,,47.2,,45.3,47.3,45,,,,-0.7,1.3,-13.9,0.9,15.5,,,,,,,,,,,,,
72772.133,90.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.187,,,,,,,,47,,45.3,48.1,45,,,,4.8,1.4,-16.5,2,24.6,,,,,,,,,,,,,
72772.283,90.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.337,,,,,,,,46.9,,45.2,48.8,45,,,,9.5,1.5,-16.5,3,30.5,,,,,,,,,,,,,
72772.433,90.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.487,,,,,,,,47,,45.2,49.6,45,,,,13.1,1.7,-19,4.1,37.8,,,,,,,,,,,,,
72772.583,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.637,,,,,,,,47.1,,45.2,50.3,45,,,,16.1,2,-5.7,5,28.8,,,,,,,,,,,,,
72772.733,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.787,,,,,,,33.53,47.3,,45.2,50.9,45,,,,19,2.3,-11.4,5.8,38.4,,,,,,,,,,,,,
72772.883,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72772.937,,,,,,,,47.5,,45.1,51.3,45,,,,20.3,2.6,-8.2,6.4,37.5,,,,,,,,,,,,,
72773.033,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.087,,,,,,,,47.7,,45.1,51.5,45,,,,20.2,2.9,5.1,6.8,24.7,,,,,,,,,,,,,
72773.183,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.237,,,,,,,,48,,45.1,51.7,45,,,,20.3,3.3,-5.7,6.9,36.1,,,,,,,,,,,,,
72773.333,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.387,,,,,,,,48.2,,45.1,51.7,45,,,,19.3,3.6,0,6.9,29.8,,,,,,,,,,,,,
72773.483,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.537,,,,,,,,48.3,,45.1,51.5,45,,,,17.6,3.9,8.2,6.8,20,,,,,,,,,,,,,
72773.633,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.687,,,,,,,,48.4,,45.1,51.4,45,,,,16.4,4.2,8.2,6.6,18.9,,,,,,,,,,,,,
72773.783,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.837,,,,,,,33.44,48.5,,45.1,51.1,45,,,,15.4,4.4,-2.6,6.2,28.6,,,,,,,,,,,,,
72773.933,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72773.987,,,,,,,,48.5,,45.1,51,45,,,,13.6,4.7,5.6,6,18.7,,,,,,,,,,,,,
72774.083,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.137,,,,,,,,48.6,,45.2,50.7,45,,,,11.9,4.9,8.2,5.6,14.2,,,,,,,,,,,,,
72774.233,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.287,,,,,,,,48.5,,45.2,50.4,45,,,,11.4,5.1,0,5.2,21.7,,,,,,,,,,,,,
72774.383,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.438,,,,,,,,48.4,,45.2,50.3,45,,,,10.4,5.2,0,5,20.6,,,,,,,,,,,,,
72774.533,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.587,,,,,,,,48.3,,45.2,50,45,,,,10.1,5.4,-2.6,4.7,22.7,,,,,,,,,,,,,
72774.683,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.737,,,,,,,,48.3,,45.2,49.9,45,,,,9.8,5.6,-2.6,4.5,22.4,,,,,,,,,,,,,
72774.833,91.1,,90,,,,33.22,,,,,,,,,,,,,,,,,,,,,,,,,,
72774.887,,,,,,,,48.2,,45.2,49.9,45,,,,9.3,5.7,-2.6,4.5,22.1,,,,,,,,,,,,,
72774.983,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.037,,,,,,,,48.1,,45.2,49.8,45,,,,9.2,5.9,-5.2,4.3,24.6,,,,,,,,,,,,,
72775.133,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.187,,,,,,,,48,,45.2,49.8,45,,,,9.5,6,0,4.3,19.8,,,,,,,,,,,,,
72775.283,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.337,,,,,,,,48,,45.2,49.8,45,,,,9.9,6.2,0,4.3,20.4,,,,,,,,,,,,,
72775.433,91.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.487,,,,,,,,48,,45.2,49.8,45,,,,9.9,6.4,2.6,4.3,18,,,,,,,,,,,,,
72775.583,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.637,,,,,,,,47.9,,45.2,49.9,45,,,,11.2,6.5,-10.8,4.5,33,,,,,,,,,,,,,
72775.733,91.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.787,,,,,,,32.95,47.9,,45.2,49.9,45,,,,11.2,6.7,2.6,4.5,19.8,,,,,,,,,,,,,
72775.883,91.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775.937,,,,,,,,47.8,,45.2,49.9,45,,,,11.4,6.9,-2.6,4.5,25.4,,,,,,,,,,,,,
72776.033,91.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.087,,,,,,,,47.8,,45.2,50,45,,,,12.2,7.1,0,4.7,23.9,,,,,,,,,,,,,
72776.183,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.237,,,,,,,,47.8,,45.2,50,45,,,,12.4,7.3,0,4.7,24.4,,,,,,,,,,,,,
72776.333,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.387,,,,,,,,47.8,,45.2,50,45,,,,12.2,7.5,-2.6,4.7,26.9,,,,,,,,,,,,,
72776.483,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.537,,,,,,,,47.8,,45.2,50.2,45,,,,12.2,7.7,0,4.9,24.7,,,,,,,,,,,,,
72776.633,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.687,,,,,,,,47.8,,45.2,50.2,45,,,,12.2,7.9,5.7,4.9,19.3,,,,,,,,,,,,,
72776.783,91.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.837,,,,,,,32.77,47.9,,45.2,50,45,,,,11.9,8.1,0,4.7,24.7,,,,,,,,,,,,,
72776.933,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72776.987,,,,,,,,47.9,,45.2,50,45,,,,11.7,8.3,0,4.7,24.7,,,,,,,,,,,,,
72777.083,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.137,,,,,,,,47.9,,45.2,50,45,,,,11.7,8.5,0,4.7,24.9,,,,,,,,,,,,,
72777.233,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.287,,,,,,,,48,,45.2,49.9,45,,,,11.4,8.7,0,4.5,24.6,,,,,,,,,,,,,
72777.383,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.437,,,,,,,,48,,45.2,49.9,45,,,,10.7,8.9,-2.6,4.5,26.6,,,,,,,,,,,,,
72777.533,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.587,,,,,,,,48,,45.2,49.8,45,,,,9.9,9,0,4.3,23.3,,,,,,,,,,,,,
72777.683,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.738,,,,,,,,47.9,,45.2,49.8,45,,,,10.2,9.2,0,4.3,23.7,,,,,,,,,,,,,
72777.833,91.1,,90,,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,
72777.887,,,,,,,,47.9,,45.2,49.6,45,,,,9.4,9.4,0,4.1,22.9,,,,,,,,,,,,,
72777.983,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.037,,,,,,,,47.9,,45.2,49.6,45,,,,9.7,9.5,0,4.1,23.3,,,,,,,,,,,,,
72778.133,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.187,,,,,,,,47.9,,45.2,49.5,45,,,,8.7,9.7,0,3.9,22.3,,,,,,,,,,,,,
72778.283,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.337,,,,,,,,47.8,,45.2,49.5,45,,,,9.1,9.8,-2.6,3.9,25.5,,,,,,,,,,,,,
72778.433,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.487,,,,,,,,47.8,,45.2,49.4,45,,,,8.6,10,-2.6,3.7,24.9,,,,,,,,,,,,,
72778.583,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.637,,,,,,,,47.8,,45.2,49.4,45,,,,8.6,10.1,-2.6,3.7,25,,,,,,,,,,,,,
72778.733,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.787,,,,,,,32.6,47.7,,45.2,49.4,45,,,,8.9,10.3,0,3.7,22.8,,,,,,,,,,,,,
72778.883,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72778.937,,,,,,,,47.7,,45.2,49.4,45,,,,9.1,10.4,-2.6,3.7,25.8,,,,,,,,,,,,,
72779.033,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.087,,,,,,,,47.7,,45.2,49.4,45,,,,9.1,10.6,0,3.7,23.4,,,,,,,,,,,,,
72779.183,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.237,,,,,,,,47.7,,45.2,49.4,45,,,,9.1,10.7,0,3.7,23.5,,,,,,,,,,,,,
72779.333,91.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.387,,,,,,,,47.6,,45.2,49.4,45,,,,9.6,10.9,-5.1,3.7,29.3,,,,,,,,,,,,,
72779.483,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.537,,,,,,,,47.7,,45.2,49.4,45,,,,9.3,11,0,3.7,24.1,,,,,,,,,,,,,
72779.633,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.687,,,,,,,,47.7,,45.2,49.4,45,,,,9.3,11.2,0,3.7,24.2,,,,,,,,,,,,,
72779.783,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.838,,,,,,,32.78,47.6,,45.2,49.4,45,,,,9.6,11.3,0,3.7,24.6,,,,,,,,,,,,,
72779.933,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72779.987,,,,,,,,47.7,,45.2,49.4,45,,,,9.3,11.5,0,3.7,24.5,,,,,,,,,,,,,
72780.083,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.137,,,,,,,,47.7,,45.2,49.2,45,,,,9.3,11.6,2.6,3.5,22,,,,,,,,,,,,,
72780.233,91.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.287,,,,,,,,47.6,,45.2,49.2,45,,,,8.8,11.8,-2.6,3.5,26.7,,,,,,,,,,,,,
72780.383,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.437,,,,,,,,47.6,,45.2,49.2,45,,,,8.8,11.9,-2.6,3.5,26.8,,,,,,,,,,,,,
72780.533,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.587,,,,,,,,47.6,,45.2,49.2,45,,,,9,12.1,0,3.5,24.7,,,,,,,,,,,,,
72780.683,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.737,,,,,,,,47.6,,45.2,49.2,45,,,,8.8,12.2,0,3.5,24.6,,,,,,,,,,,,,
72780.833,91.1,,90,,,,33.08,,,,,,,,,,,,,,,,,,,,,,,,,,
72780.887,,,,,,,,47.7,,45.2,49.2,45,,,,8.6,12.4,2.6,3.5,21.9,,,,,,,,,,,,,
72780.983,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.037,,,,,,,,47.6,,45.2,49.2,45,,,,8.8,12.5,2.6,3.5,22.3,,,,,,,,,,,,,
72781.133,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.187,,,,,,,,47.6,,45.2,49.2,45,,,,9,12.7,0,3.5,25.3,,,,,,,,,,,,,
72781.283,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.337,,,,,,,,47.6,,45.2,49.1,45,,,,8.3,12.8,-5.1,3.3,29.6,,,,,,,,,,,,,
72781.433,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.487,,,,,,,,47.6,,45.2,49.1,45,,,,8.1,12.9,2.6,3.3,21.8,,,,,,,,,,,,,
72781.583,90.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.638,,,,,,,,47.6,,45.2,49.1,45,,,,8.3,13.1,0,3.3,24.7,,,,,,,,,,,,,
72781.733,91,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72781.787,,,,,,,,47.6,,45.2,48.9,45,,,,8.1,13.2,0,3.2,24.4,,,,,,,,,,,,,
