Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: jw
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
23,629,352,20,29,42,72,39
23,628,351,21,29,42,72,39
23,626,350,20,29,42,72,39
23,625,349,20,29,41,72,39
23,624,349,20,29,41,72,39
23,624,349,20,29,41,72,39
23,624,348,20,29,41,72,39
23,622,348,20,29,41,71,39
23,622,348,20,29,41,72,39
23,622,348,20,29,41,72,39
23,622,347,20,29,41,71,39
23,624,348,20,29,41,72,39
23,622,347,20,29,41,71,39
23,621,347,20,29,41,71,39
23,620,346,20,29,41,71,39
23,620,346,20,29,41,71,39
23,620,346,20,29,41,71,39
23,620,346,20,29,41,71,39
23,619,346,20,29,41,71,39
23,620,346,20,29,41,71,39
23,620,346,20,29,41,71,39
23,619,346,20,29,41,71,39
23,619,346,20,29,41,71,39
23,619,346,20,29,41,71,39
23,619,346,20,29,41,71,39
23,621,347,20,29,41,72,39
23,622,348,20,29,41,72,39
23,619,346,20,29,41,71,39
23,618,346,20,29,41,71,39
23,618,345,20,29,41,71,39

Passed test

Comments:
