consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK,
00c62d65-b579-4ceb-bdc2-fde5939c12f1,30,31.8,30.2,30.2,30.2,30.4,30.2,30.2,30,30.5,null,
0621bd93-267a-4892-9b5e-d97bbaf09030,30.2,29.1,30.4,30.5,30.5,30.9,30.2,30.5,30.4,30.8,null,
11a22cab-98cf-42f5-8bbd-94a920386065,29.5,29.8,29.3,29.4,29.3,29.6,29.2,29.2,29.5,28.7,null,
168e4a0b-690f-4fb0-8d6f-5b0a0b26bc9e,29.9,22.1,30.2,30.2,30.2,30.8,30.8,30.4,30.4,30.8,null,
1ad72469-7b58-4c49-b10d-0aa6ea2ea656,29.9,28,30.2,30,30.2,30,29.9,30,29.4,29.7,null,
1e9ebb6b-3695-471d-9eaf-3ec84f823de0,30,30.2,30.2,30,30.2,30.2,30,30.2,30.4,30.2,null,
233c26c2-c7fa-4a18-999c-7faf6019b37e,30,30.4,30,30,30,30.2,30.2,30.4,30.2,30.2,null,
3680ce49-08af-4b22-9fc3-25632b1da392,29.9,24.1,30.2,30.2,30.4,30.4,30.4,30.4,30.4,30.2,null,
36ca3cb1-e946-42cb-bd22-2f1e6f7e229a,29.4,30,29.8,29.8,29.8,29.9,29.9,30,29.6,29.9,null,
46c1aa9d-d99f-4946-beb8-51f6454e4eb3,29.2,28.3,29.1,29.1,29.2,29.1,29,29,28.7,28.7,null,
4b6d0c4b-adaf-45c2-933b-a284209fea81,30.9,26.5,30.7,30.8,30.5,30.8,30,30.2,30.4,30.6,null,
562a15dc-e113-4211-ae01-20e2efb094bc,30.8,31,30.8,30.5,30.5,30.9,30.7,30.8,30.5,30.2,null,
5d92ce93-ca4e-4669-8674-f6a73f456fb8,31,31,30.9,30.8,30.9,31.5,30.4,31.2,30.9,31,null,
63aecef9-2e95-4b92-8c58-f17aff848afb,30.5,29,30.4,30.4,30.4,30.8,30.8,30.8,30,30.4,null,
6742a2b8-422c-4e94-b96c-f421932b2bda,30.2,30.2,30.4,30.2,30.2,30.2,30.2,30.2,30.2,30.2,null,
6fafba04-2e39-4e24-8f46-58e0c12015d8,33,30.2,32.9,32.9,32.9,33.1,32.8,33,32.2,32.7,null,
752398f6-f8be-4225-a290-1830d92f35bc,30,30.6,30,30,30.2,30.2,29.9,30,30.2,29.9,null,
7b2ab41b-5c89-4f91-9b85-55448e013e3b,31,32.9,30.5,30.2,30.2,30.6,30.9,30.8,30.2,30.8,null,
8421241c-f30d-4388-aa44-18e2a6027c0b,29.6,30.2,29.6,29.5,29.5,29.8,29.6,29.8,29.9,30.5,null,
869b511c-d0d6-4975-8fcf-35d946286304,27.5,26,29.8,30,30,29.3,31,29.3,29.5,25.9,null,
8b3b01d6-bad9-4a0b-97b9-bdd1796c962a,30.9,24.5,31,31,31,31,31,31,31.2,31,null,
95fa3e1e-c5ad-4a7b-84fc-e1a72f582169,29,29.3,29.1,29,29.1,29.2,28.7,29.2,28.4,29,null,
9614ab6a-8150-4173-af41-02512504c8d5,29.6,29.2,29.5,29.5,29.5,29.5,28.9,29.3,30,29.2,null,
9c19926f-0dbd-4b29-9049-52148a740be9,30.4,30.7,30.2,30.2,30.2,30.2,29.9,30,29.7,30.2,null,
aa8e16ad-c64e-450a-b980-7c4864b4cb32,28.4,28.5,29.3,29.3,29.4,29.5,29,29.3,28.9,29.1,null,
aefcd937-0387-4e14-b26a-6a4e2b425132,31.2,34.1,30.9,30.8,30.9,30.9,31.2,31.2,31,31,null,
c9763864-6f4f-4fc4-b703-66180a752564,31,29.2,31,31,31,31,31.2,30.9,31,31,null,
dcf799f9-924f-4a30-b8fe-4ef180999fca,30.5,32.4,30.4,30.2,30.4,30.5,30.4,30.7,30.2,30.2,null,
db04e0c6-731b-43aa-b1d7-f7832bf782cf,31.6,29.6,31.2,31.2,31.2,31.4,31.2,31,31,31,null,
eb2dc023-40f8-41cf-bab5-d249189da032,30.2,30.7,30.6,30.8,30.8,30.7,29.6,30.5,30.5,30.9,null,
ff6299d3-9e8e-4fbb-a47e-9c2eb711ca1c,31.8,26,31.8,31.8,31.8,31.9,31.9,32,31,32,null,
f409cecc-05e2-4128-8a10-2cce8bc434a9,30.2,31.2,30.8,30.8,30.9,30.8,30.8,30.9,31.2,30.8,null,
6a546d71-31af-4b7e-b9bc-100600da951d,29.6,29.7,29.8,29.9,29.9,29.9,29.2,30,30,29.4,null,
f595ee5f-6c6d-49b9-b0bd-d5a4fcc07eef,30.8,30.2,30.9,30.9,30.9,31,30.9,30.9,30.6,30.4,null,
