consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
63aecef9-2e95-4b92-8c58-f17aff848afb,29,54,1255,743,230,92,60,48,28,775,0
6742a2b8-422c-4e94-b96c-f421932b2bda,26,95,1289,716,228,81,57,51,27,651,0
95fa3e1e-c5ad-4a7b-84fc-e1a72f582169,27,49,1269,753,226,84,53,43,25,679,0
11a22cab-98cf-42f5-8bbd-94a920386065,35,80,1547,949,290,110,62,52,34,909,0
233c26c2-c7fa-4a18-999c-7faf6019b37e,31,85,1387,846,259,99,58,51,30,735,0
8b3b01d6-bad9-4a0b-97b9-bdd1796c962a,29,78,1226,712,221,89,60,47,25,723,0
8421241c-f30d-4388-aa44-18e2a6027c0b,31,123,1514,833,264,97,67,62,34,858,0
46c1aa9d-d99f-4946-beb8-51f6454e4eb3,29,53,1337,773,240,87,58,46,26,734,0
4b6d0c4b-adaf-45c2-933b-a284209fea81,33,125,1409,865,265,104,62,52,33,897,0
869b511c-d0d6-4975-8fcf-35d946286304,34,127,1661,964,305,115,63,64,35,949,0
6fafba04-2e39-4e24-8f46-58e0c12015d8,23,48,1034,584,184,76,46,40,21,579,0
00c62d65-b579-4ceb-bdc2-fde5939c12f1,23,78,1200,644,210,73,49,46,23,568,0
9614ab6a-8150-4173-af41-02512504c8d5,29,60,1297,756,232,85,56,44,26,685,0
562a15dc-e113-4211-ae01-20e2efb094bc,32,113,1426,833,260,97,57,53,31,832,0
36ca3cb1-e946-42cb-bd22-2f1e6f7e229a,34,98,1576,945,293,114,65,61,35,868,0
c9763864-6f4f-4fc4-b703-66180a752564,25,45,1118,654,206,80,52,41,23,689,0
168e4a0b-690f-4fb0-8d6f-5b0a0b26bc9e,24,79,1251,643,213,74,52,47,22,544,0
aa8e16ad-c64e-450a-b980-7c4864b4cb32,25,53,1169,681,211,76,50,40,24,663,0
db04e0c6-731b-43aa-b1d7-f7832bf782cf,23,70,1032,608,193,72,43,38,22,567,0
eb2dc023-40f8-41cf-bab5-d249189da032,31,98,1346,834,256,97,62,48,31,796,0
ff6299d3-9e8e-4fbb-a47e-9c2eb711ca1c,26,53,1190,711,226,87,60,47,26,746,0
f409cecc-05e2-4128-8a10-2cce8bc434a9,25,77,1214,672,210,77,54,47,25,624,0
6a546d71-31af-4b7e-b9bc-100600da951d,28,54,1305,765,230,86,56,46,25,720,0
f595ee5f-6c6d-49b9-b0bd-d5a4fcc07eef,30,132,1323,767,254,96,57,53,30,746,0
