Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
23,421,238,23,33,44,63,36
23,420,238,23,33,44,63,36
23,418,237,23,32,44,63,36
23,420,238,23,33,44,63,36
23,418,236,23,32,44,63,36
23,417,236,23,32,44,63,36
23,417,236,23,32,44,63,36
23,416,235,23,32,43,63,36
23,416,235,23,32,43,63,36
23,417,236,23,32,44,63,36
23,416,235,23,32,44,63,36
23,417,236,23,32,44,63,36
23,415,235,23,32,44,63,36
23,417,236,23,33,44,63,36
23,417,236,23,32,44,63,36
23,415,235,23,32,43,63,36
23,415,235,23,32,43,63,36
23,414,234,23,32,43,63,36
23,414,234,23,32,43,63,36
23,414,234,23,32,43,63,36
22,413,234,23,32,43,63,36
22,413,234,23,32,43,63,36
22,413,234,23,32,43,63,36
23,415,235,23,32,44,63,36
23,413,234,23,32,43,63,36
23,415,235,23,33,44,63,36
23,413,234,23,32,43,63,36
23,413,234,23,32,43,63,36
23,415,235,23,32,44,63,36
23,413,234,23,32,44,63,36

Passed test

Comments:
